month,AR,Customer,Truck,Driver,Hours,start_time,end_time,gps_start,gps_end,Overlap,start_time_difference,end_time_difference,deviation_from_hours,Owner/Operator,Action Taken
1,21,C-23,T-38,D-36,5.5,1/2/2023 16:30,1/2/2023 22:00,1/2/2023 16:45,1/2/2023 21:59,0,15,-1,-16,Mason,0
1,22,C-41,T-41,D-61,6,1/2/2023 5:00,1/2/2023 11:00,1/2/2023 5:33,1/2/2023 10:42,0,33,-18,-51,Barrett,0
1,23,C-23,T-41,D-61,11.5,1/2/2023 10:50,1/2/2023 22:20,1/2/2023 11:15,1/2/2023 22:17,0,25,-3,-28,Barrett,0
1,24,C-41,T-46,D-3,10,1/2/2023 8:00,1/2/2023 18:00,1/2/2023 9:34,1/2/2023 17:01,0,94,-59,-153,Waters,0
1,25,C-16,T-32,D-18,4.5,1/2/2023 11:30,1/2/2023 16:00,1/2/2023 11:50,1/2/2023 16:12,0,20,12,-8,Barrett,0
1,26,C-23,T-32,D-18,4.5,1/2/2023 16:00,1/2/2023 20:30,1/2/2023 16:26,1/2/2023 20:27,0,26,-3,-29,Barrett,0
1,27,C-41,T-30,D-57,4.5,1/2/2023 0:30,1/2/2023 5:00,1/2/2023 0:45,1/2/2023 4:25,0,15,-35,-50,Barrett,0
1,28,C-23,T-15,D-56,10.5,1/2/2023 9:00,1/2/2023 19:30,1/2/2023 9:15,1/2/2023 19:43,0,15,13,-2,Barrett,0
1,29,C-41,T-10,D-29,5.5,1/2/2023 5:30,1/2/2023 11:00,1/2/2023 5:47,1/2/2023 10:42,0,17,-18,-35,Wright,0
1,30,C-23,T-10,D-29,11.5,1/2/2023 11:00,1/2/2023 22:30,1/2/2023 11:15,1/2/2023 22:07,0,15,-23,-38,Wright,0
1,31,C-41,T-9,D-9,11,1/2/2023 6:00,1/2/2023 17:00,1/2/2023 6:09,1/2/2023 16:51,0,9,-9,-18,Barrett,0
1,32,C-23,T-30,D-44,13.5,1/2/2023 18:00,1/3/2023 7:30,1/2/2023 18:15,1/3/2023 7:35,0,15,5,-10,Barrett,0
1,33,C-23,T-14,D-31,13,1/2/2023 7:00,1/2/2023 20:00,1/2/2023 7:02,1/2/2023 19:14,0,2,-46,-48,Barrett,0
1,34,C-41,T-13,D-26,7,1/2/2023 4:00,1/2/2023 11:00,1/2/2023 4:14,1/2/2023 10:46,0,14,-14,-28,Barrett,0
1,35,C-23,T-40,D-63,3.5,1/2/2023 5:00,1/2/2023 8:30,1/2/2023 5:25,1/2/2023 8:03,0,25,-27,-52,Barrett,0
1,36,C-41,T-40,D-63,10.5,1/2/2023 8:30,1/2/2023 19:00,1/2/2023 8:45,1/2/2023 18:51,0,15,-9,-24,Barrett,0
1,37,C-23,T-20,D-21,11,1/2/2023 5:30,1/2/2023 16:30,1/2/2023 5:36,1/2/2023 16:34,0,6,4,-2,Mason,0
1,38,C-23,T-20,D-21,5.5,1/2/2023 16:30,1/2/2023 22:00,1/2/2023 16:45,1/2/2023 21:55,0,15,-5,-20,Mason,0
1,39,C-41,T-18,D-4,12,1/2/2023 6:00,1/2/2023 18:00,1/2/2023 6:20,1/2/2023 17:18,0,20,-42,-62,Barrett,0
1,40,C-41,T-45,D-71,6,1/2/2023 5:00,1/2/2023 11:00,1/2/2023 5:44,1/2/2023 11:14,0,44,14,-30,Barrett,0
1,41,C-23,T-45,D-71,11.5,1/2/2023 11:00,1/2/2023 22:30,1/2/2023 11:14,1/2/2023 22:35,0,14,5,-9,Barrett,0
1,42,C-55,T-31,D-15,13,1/2/2023 2:30,1/2/2023 15:30,1/2/2023 2:42,1/2/2023 15:38,0,12,8,-4,Barrett,0
1,43,C-23,T-33,D-19,8.5,1/3/2023 16:30,1/4/2023 1:00,1/3/2023 17:17,1/4/2023 0:47,0,47,-13,-60,Barrett,0
1,44,C-41,T-34,D-53,12,1/3/2023 6:00,1/3/2023 18:00,1/3/2023 5:53,1/3/2023 17:25,0,-7,-35,-28,Barrett,0
1,45,C-41,T-39,D-65,13.5,1/3/2023 6:00,1/3/2023 19:30,1/3/2023 6:15,1/3/2023 19:17,0,15,-13,-28,Barrett,0
1,46,C-41,T-38,D-36,14,1/3/2023 5:30,1/3/2023 19:30,1/3/2023 5:33,1/3/2023 19:07,0,3,-23,-26,Mason,0
1,47,C-23,T-41,D-61,12.5,1/3/2023 6:00,1/3/2023 18:30,1/3/2023 6:15,1/3/2023 18:13,0,15,-17,-32,Barrett,0
1,48,C-41,T-29,D-17,6,1/3/2023 6:30,1/3/2023 12:30,1/3/2023 7:01,1/3/2023 12:28,0,31,-2,-33,Barrett,0
1,49,C-23,T-32,D-18,5,1/3/2023 7:00,1/3/2023 12:00,1/3/2023 7:01,1/3/2023 12:01,0,1,1,0,Barrett,0
1,50,C-43,T-32,D-18,7,1/3/2023 12:00,1/3/2023 19:00,1/3/2023 11:45,1/3/2023 19:09,0,-15,9,24,Barrett,0
1,51,C-43,T-15,D-56,14.5,1/3/2023 4:30,1/3/2023 19:00,1/3/2023 4:23,1/3/2023 17:14,0,-7,-106,-99,Barrett,0
1,52,C-49,T-15,D-56,5,1/3/2023 19:00,1/4/2023 0:00,1/3/2023 18:45,1/3/2023 23:26,0,-15,-34,-19,Barrett,0
1,53,C-23,T-29,D-17,7,1/3/2023 12:30,1/3/2023 19:30,1/3/2023 12:15,1/3/2023 19:21,0,-15,-9,6,Barrett,0
1,54,C-41,T-9,D-9,11.5,1/3/2023 6:00,1/3/2023 17:30,1/3/2023 6:15,1/3/2023 17:07,0,15,-23,-38,Barrett,0
1,55,C-41,T-30,D-44,11,1/3/2023 18:00,1/4/2023 5:00,1/3/2023 17:54,1/4/2023 4:47,0,-6,-13,-7,Barrett,0
1,56,C-23,T-14,D-31,14,1/3/2023 4:30,1/3/2023 18:30,1/3/2023 5:03,1/3/2023 17:45,0,33,-45,-78,Barrett,0
1,57,C-41,T-6,D-47,8,1/3/2023 6:00,1/3/2023 14:00,1/3/2023 5:46,1/3/2023 13:23,0,-14,-37,-23,Gilmour,0
1,58,C-41,T-37,D-16,9,1/3/2023 8:00,1/3/2023 17:00,1/3/2023 7:53,1/3/2023 16:48,0,-7,-12,-5,Barrett,0
1,59,C-55,T-31,D-38,9.5,1/3/2023 6:30,1/3/2023 16:00,1/3/2023 6:56,1/3/2023 15:44,0,26,-16,-42,Barrett,0
1,60,C-55,T-31,D-38,3.5,1/3/2023 16:00,1/3/2023 19:30,1/3/2023 16:15,1/3/2023 19:03,0,15,-27,-42,Barrett,0
1,61,C-41,T-40,D-63,6,1/3/2023 5:00,1/3/2023 11:00,1/3/2023 4:49,1/3/2023 10:44,0,-11,-16,-5,Barrett,0
1,62,C-23,T-40,D-63,1.5,1/3/2023 11:00,1/3/2023 12:30,1/3/2023 10:44,1/3/2023 12:18,0,-16,-12,4,Barrett,0
1,63,C-41,T-40,D-63,7,1/3/2023 12:30,1/3/2023 19:30,1/3/2023 12:18,1/3/2023 20:21,0,-12,51,63,Barrett,0
1,64,C-41,T-20,D-70,13.5,1/3/2023 5:30,1/3/2023 19:00,1/3/2023 5:44,1/3/2023 18:21,0,14,-39,-53,Mason,0
1,65,C-41,T-7,D-21,8,1/3/2023 5:30,1/3/2023 13:30,1/3/2023 5:31,1/3/2023 13:01,0,1,-29,-30,Mason,0
1,66,C-41,T-18,D-4,9.5,1/3/2023 5:00,1/3/2023 14:30,1/3/2023 5:40,1/3/2023 14:30,0,40,0,-40,Barrett,0
1,67,C-23,T-18,D-4,3.5,1/3/2023 14:30,1/3/2023 18:00,1/3/2023 14:46,1/3/2023 17:26,0,16,-34,-50,Barrett,0
1,68,C-41,T-4,D-1,13.5,1/3/2023 6:00,1/3/2023 19:30,1/3/2023 6:20,1/3/2023 19:32,0,20,2,-18,Gilmour,0
1,69,C-41,T-7,D-52,6,1/3/2023 13:30,1/3/2023 19:30,1/3/2023 13:48,1/3/2023 19:08,0,18,-22,-40,Mason,0
1,70,C-23,T-45,D-71,6.5,1/3/2023 6:00,1/3/2023 12:30,1/3/2023 6:02,1/3/2023 12:24,0,2,-6,-8,Barrett,0
1,71,C-41,T-45,D-71,6,1/3/2023 12:30,1/3/2023 18:30,1/3/2023 12:24,1/3/2023 18:01,0,-6,-29,-23,Barrett,0
1,72,C-23,T-33,D-19,4.5,1/4/2023 17:00,1/4/2023 21:30,1/4/2023 17:21,1/4/2023 21:43,0,21,13,-8,Barrett,0
1,73,C-41,T-33,D-19,9,1/4/2023 21:30,1/5/2023 6:30,1/4/2023 21:32,1/5/2023 5:56,0,2,-34,-36,Barrett,0
1,74,C-23,T-25,D-41,5.5,1/4/2023 18:00,1/4/2023 23:30,1/4/2023 18:36,1/4/2023 23:33,0,36,3,-33,Gilmour,0
1,75,C-41,T-25,D-41,8.5,1/4/2023 23:30,1/5/2023 8:00,1/4/2023 23:58,1/5/2023 7:15,0,28,-45,-73,Gilmour,0
1,76,C-41,T-6,D-47,8.5,1/4/2023 6:00,1/4/2023 14:30,1/4/2023 6:41,1/4/2023 14:36,0,41,6,-35,Gilmour,0
1,77,C-23,T-6,D-47,3.5,1/4/2023 14:30,1/4/2023 18:00,1/4/2023 15:06,1/4/2023 17:13,0,36,-47,-83,Gilmour,0
1,78,C-41,T-34,D-40,13,1/4/2023 6:00,1/4/2023 19:00,1/4/2023 6:46,1/4/2023 18:37,0,46,-23,-69,Barrett,0
1,79,C-41,T-39,D-65,13.5,1/4/2023 6:00,1/4/2023 19:30,1/4/2023 6:15,1/4/2023 19:05,0,15,-25,-40,Barrett,0
1,80,C-41,T-38,D-36,7.5,1/4/2023 5:30,1/4/2023 13:00,1/4/2023 5:45,1/4/2023 13:13,0,15,13,-2,Mason,0
1,81,C-23,T-38,D-36,9,1/4/2023 13:00,1/4/2023 22:00,1/4/2023 12:45,1/4/2023 21:26,0,-15,-34,-19,Mason,0
1,82,C-41,T-35,D-59,3.5,1/4/2023 18:00,1/4/2023 21:30,1/4/2023 17:40,1/4/2023 20:33,0,-20,-57,-37,Gilmour,0
1,83,C-41,T-35,D-59,11.5,1/4/2023 6:30,1/4/2023 18:00,1/4/2023 7:18,1/4/2023 17:40,0,48,-20,-68,Gilmour,0
1,84,C-41,T-32,D-18,8,1/4/2023 6:00,1/4/2023 14:00,1/4/2023 5:49,1/4/2023 13:58,0,-11,-2,9,Barrett,0
1,85,C-40,T-15,D-56,9,1/4/2023 9:30,1/4/2023 18:30,1/4/2023 9:36,1/4/2023 18:14,0,6,-16,-22,Barrett,0
1,86,C-41,T-9,D-9,2.5,1/4/2023 16:30,1/4/2023 19:00,1/4/2023 16:45,1/4/2023 18:49,0,15,-11,-26,Barrett,0
1,87,C-41,T-9,D-9,10.5,1/4/2023 6:00,1/4/2023 16:30,1/4/2023 6:42,1/4/2023 16:42,0,42,12,-30,Barrett,0
1,88,C-41,T-30,D-44,12,1/4/2023 17:30,1/5/2023 5:30,1/4/2023 17:35,1/5/2023 5:04,0,5,-26,-31,Barrett,0
1,89,C-41,T-14,D-31,7.5,1/4/2023 12:30,1/4/2023 20:00,1/4/2023 12:45,1/4/2023 19:22,0,15,-38,-53,Barrett,0
1,90,C-23,T-14,D-31,6.5,1/4/2023 6:00,1/4/2023 12:30,1/4/2023 6:25,1/4/2023 12:07,0,25,-23,-48,Barrett,0
1,91,C-41,T-3,D-66,12,1/4/2023 5:00,1/4/2023 17:00,1/4/2023 6:00,1/4/2023 17:31,0,60,31,-29,Barrett,0
1,92,C-41,T-3,D-66,5,1/4/2023 17:00,1/4/2023 22:00,1/4/2023 17:31,1/4/2023 21:26,0,31,-34,-65,Barrett,0
1,93,C-41,T-29,D-17,12,1/4/2023 6:30,1/4/2023 18:30,1/4/2023 7:23,1/4/2023 18:03,0,53,-27,-80,Barrett,0
1,94,C-41,T-37,D-16,9.5,1/4/2023 7:00,1/4/2023 16:30,1/4/2023 7:16,1/4/2023 16:41,0,16,11,-5,Barrett,0
1,95,C-41,T-37,D-16,4.5,1/4/2023 16:30,1/4/2023 21:00,1/4/2023 16:45,1/4/2023 20:48,0,15,-12,-27,Barrett,0
1,96,C-55,T-31,D-38,8,1/4/2023 6:00,1/4/2023 14:00,1/4/2023 6:39,1/4/2023 14:11,0,39,11,-28,Barrett,0
1,97,C-55,T-31,D-38,4.5,1/4/2023 14:00,1/4/2023 18:30,1/4/2023 14:15,1/4/2023 17:56,0,15,-34,-49,Barrett,0
1,98,C-41,T-40,D-63,12.5,1/4/2023 5:00,1/4/2023 17:30,1/4/2023 5:06,1/4/2023 17:45,0,6,15,9,Barrett,0
1,99,C-41,T-40,D-63,6.5,1/4/2023 17:30,1/5/2023 0:00,1/4/2023 17:45,1/4/2023 23:05,0,15,-55,-70,Barrett,0
1,100,C-41,T-20,D-70,7.5,1/4/2023 5:30,1/4/2023 13:00,1/4/2023 5:47,1/4/2023 12:51,0,17,-9,-26,Mason,0
1,101,C-23,T-20,D-70,2,1/4/2023 13:00,1/4/2023 15:00,1/4/2023 12:45,1/4/2023 15:13,0,-15,13,28,Mason,0
1,102,C-23,T-20,D-70,5.5,1/4/2023 15:00,1/4/2023 20:30,1/4/2023 15:15,1/4/2023 20:03,0,15,-27,-42,Mason,0
1,103,C-41,T-18,D-4,12,1/4/2023 4:00,1/4/2023 16:00,1/4/2023 5:12,1/4/2023 14:54,0,72,-66,-138,Barrett,0
1,104,C-41,T-28,D-27,3.5,1/4/2023 18:00,1/4/2023 21:30,1/4/2023 18:15,1/4/2023 20:32,0,15,-58,-73,Gilmour,0
1,105,C-41,T-28,D-27,11.5,1/4/2023 6:30,1/4/2023 18:00,1/4/2023 7:10,1/4/2023 17:30,0,40,-30,-70,Gilmour,0
1,106,C-41,T-13,D-46,10.5,1/4/2023 6:00,1/4/2023 16:30,1/4/2023 6:20,1/4/2023 16:02,0,20,-28,-48,Barrett,0
1,107,C-41,T-13,D-46,7,1/4/2023 16:30,1/4/2023 23:30,1/4/2023 16:26,1/4/2023 23:27,0,-4,-3,1,Barrett,0
1,108,C-41,T-4,D-1,11.5,1/4/2023 6:00,1/4/2023 17:30,1/4/2023 6:15,1/4/2023 17:28,0,15,-2,-17,Gilmour,0
1,109,C-41,T-4,D-1,3,1/4/2023 17:30,1/4/2023 20:30,1/4/2023 17:15,1/4/2023 19:22,0,-15,-68,-53,Gilmour,0
1,110,C-23,T-7,D-52,9.5,1/4/2023 13:00,1/4/2023 22:30,1/4/2023 13:15,1/4/2023 22:03,0,15,-27,-42,Mason,0
1,111,C-41,T-7,D-52,7.5,1/4/2023 5:30,1/4/2023 13:00,1/4/2023 5:49,1/4/2023 12:51,0,19,-9,-28,Mason,0
1,112,C-41,T-33,D-69,12,1/4/2023 6:00,1/4/2023 18:00,1/4/2023 5:57,1/4/2023 17:35,0,-3,-25,-22,Barrett,0
1,113,C-41,T-45,D-71,12,1/4/2023 5:00,1/4/2023 17:00,1/4/2023 5:58,1/4/2023 17:08,0,58,8,-50,Barrett,0
1,114,C-41,T-45,D-71,5,1/4/2023 17:00,1/4/2023 22:00,1/4/2023 17:08,1/4/2023 21:05,0,8,-55,-63,Barrett,0
1,115,C-23,T-29,D-15,11,1/4/2023 19:00,1/5/2023 6:00,1/4/2023 19:45,1/5/2023 5:48,0,45,-12,-57,Barrett,0
1,116,C-41,T-35,D-59,13.5,1/5/2023 6:00,1/5/2023 19:30,1/5/2023 6:39,1/5/2023 18:28,0,39,-62,-101,Gilmour,0
1,117,C-41,T-47,D-11,11,1/5/2023 6:00,1/5/2023 17:00,1/5/2023 6:28,1/5/2023 16:48,0,28,-12,-40,Gilmour,0
1,118,C-23,T-47,D-11,4,1/5/2023 17:00,1/5/2023 21:00,1/5/2023 16:46,1/5/2023 20:17,0,-14,-43,-29,Gilmour,0
1,119,C-23,T-33,D-19,5,1/5/2023 17:30,1/5/2023 22:30,1/5/2023 18:24,1/5/2023 22:16,0,54,-14,-68,Barrett,0
1,120,C-23,T-33,D-19,6.5,1/5/2023 22:30,1/6/2023 5:00,1/5/2023 22:45,1/6/2023 5:11,0,15,11,-4,Barrett,0
1,121,C-23,T-25,D-41,7,1/5/2023 18:00,1/6/2023 1:00,1/5/2023 18:38,1/6/2023 0:54,0,38,-6,-44,Gilmour,0
1,122,C-41,T-6,D-47,10.5,1/5/2023 6:00,1/5/2023 16:30,1/5/2023 6:30,1/5/2023 16:13,0,30,-17,-47,Gilmour,0
1,123,C-23,T-6,D-47,4,1/5/2023 16:30,1/5/2023 20:30,1/5/2023 17:07,1/5/2023 19:42,0,37,-48,-85,Gilmour,0
1,124,C-41,T-34,D-40,5,1/5/2023 6:00,1/5/2023 11:00,1/5/2023 6:50,1/5/2023 10:47,0,50,-13,-63,Barrett,0
1,125,C-41,T-34,D-40,5,1/5/2023 11:00,1/5/2023 16:00,1/5/2023 10:45,1/5/2023 16:14,0,-15,14,29,Barrett,0
1,126,C-23,T-34,D-40,6,1/5/2023 16:00,1/5/2023 22:00,1/5/2023 15:45,1/5/2023 21:42,0,-15,-18,-3,Barrett,0
1,127,C-41,T-28,D-27,13.5,1/5/2023 6:00,1/5/2023 19:30,1/5/2023 6:33,1/5/2023 18:29,0,33,-61,-94,Gilmour,0
1,128,C-41,T-39,D-65,12.5,1/5/2023 6:00,1/5/2023 18:30,1/5/2023 6:13,1/5/2023 18:16,0,13,-14,-27,Barrett,0
1,129,C-41,T-38,D-36,5.5,1/5/2023 5:30,1/5/2023 11:00,1/5/2023 5:52,1/5/2023 11:07,0,22,7,-15,Mason,0
1,130,C-23,T-38,D-36,6.5,1/5/2023 11:00,1/5/2023 17:30,1/5/2023 11:15,1/5/2023 17:40,0,15,10,-5,Mason,0
1,131,C-41,T-11,D-61,4.5,1/5/2023 5:00,1/5/2023 9:30,1/5/2023 5:31,1/5/2023 9:08,0,31,-22,-53,Barrett,0
1,132,C-41,T-11,D-61,9.5,1/5/2023 9:30,1/5/2023 19:00,1/5/2023 9:45,1/5/2023 18:50,0,15,-10,-25,Barrett,0
1,133,C-41,T-46,D-3,4.5,1/5/2023 6:30,1/5/2023 11:00,1/5/2023 7:48,1/5/2023 10:53,0,78,-7,-85,Waters,0
1,134,C-41,T-46,D-3,6.5,1/5/2023 11:00,1/5/2023 17:30,1/5/2023 11:16,1/5/2023 17:42,0,16,12,-4,Waters,0
1,135,C-23,T-46,D-3,5,1/5/2023 17:30,1/5/2023 22:30,1/5/2023 17:15,1/5/2023 22:26,0,-15,-4,11,Waters,0
1,136,C-41,T-9,D-9,3.5,1/5/2023 7:00,1/5/2023 10:30,1/5/2023 7:15,1/5/2023 10:10,0,15,-20,-35,Barrett,0
1,137,C-41,T-9,D-9,6.5,1/5/2023 10:30,1/5/2023 17:00,1/5/2023 10:10,1/5/2023 17:14,0,-20,14,34,Barrett,0
1,138,C-23,T-30,D-44,8.5,1/5/2023 23:30,1/6/2023 8:00,1/5/2023 23:45,1/6/2023 7:50,0,15,-10,-25,Barrett,0
1,139,C-23,T-30,D-44,5.5,1/5/2023 18:00,1/5/2023 23:30,1/5/2023 18:15,1/5/2023 23:45,0,15,15,0,Barrett,0
1,140,C-41,T-14,D-31,3,1/5/2023 6:00,1/5/2023 9:00,1/5/2023 6:06,1/5/2023 8:55,0,6,-5,-11,Barrett,0
1,141,C-41,T-14,D-31,10,1/5/2023 9:00,1/5/2023 19:00,1/5/2023 8:47,1/5/2023 18:49,0,-13,-11,2,Barrett,0
1,142,C-41,T-3,D-66,5.5,1/5/2023 5:00,1/5/2023 10:30,1/5/2023 5:51,1/5/2023 10:45,0,51,15,-36,Barrett,0
1,143,C-41,T-3,D-66,9.5,1/5/2023 10:30,1/5/2023 20:00,1/5/2023 10:45,1/5/2023 19:51,0,15,-9,-24,Barrett,0
1,144,C-23,T-29,D-17,16.5,1/5/2023 6:00,1/5/2023 22:30,1/5/2023 5:46,1/5/2023 22:27,0,-14,-3,11,Barrett,0
1,145,C-41,T-37,D-16,2.5,1/5/2023 7:00,1/5/2023 9:30,1/5/2023 7:15,1/5/2023 9:43,0,15,13,-2,Barrett,0
1,146,C-41,T-37,D-16,7,1/5/2023 9:30,1/5/2023 16:30,1/5/2023 9:30,1/5/2023 16:21,0,0,-9,-9,Barrett,0
1,147,C-41,T-33,D-69,11,1/5/2023 7:00,1/5/2023 18:00,1/5/2023 8:01,1/5/2023 18:28,0,61,28,-33,Barrett,0
1,148,C-41,T-40,D-63,5.5,1/5/2023 5:00,1/5/2023 10:30,1/5/2023 6:20,1/5/2023 10:36,0,80,6,-74,Barrett,0
1,149,C-41,T-40,D-63,7,1/5/2023 10:30,1/5/2023 17:30,1/5/2023 10:36,1/5/2023 17:31,0,6,1,-5,Barrett,0
1,150,C-41,T-20,D-70,10,1/5/2023 5:30,1/5/2023 15:30,1/5/2023 6:01,1/5/2023 15:22,0,31,-8,-39,Mason,0
1,151,C-23,T-20,D-70,5,1/5/2023 15:30,1/5/2023 20:30,1/5/2023 15:22,1/5/2023 20:07,0,-8,-23,-15,Mason,0
1,152,C-23,T-9,D-9,4.5,1/5/2023 17:00,1/5/2023 21:30,1/5/2023 17:14,1/5/2023 21:03,0,14,-27,-41,Barrett,0
1,153,C-41,T-13,D-46,7,1/5/2023 3:30,1/5/2023 10:30,1/5/2023 4:12,1/5/2023 10:33,0,42,3,-39,Barrett,0
1,154,C-41,T-13,D-46,6,1/5/2023 10:30,1/5/2023 16:30,1/5/2023 10:33,1/5/2023 15:36,0,3,-54,-57,Barrett,0
1,155,C-41,T-4,D-1,10,1/5/2023 6:00,1/5/2023 16:00,1/5/2023 6:33,1/5/2023 15:41,0,33,-19,-52,Gilmour,0
1,156,C-23,T-4,D-1,4.5,1/5/2023 16:00,1/5/2023 20:30,1/5/2023 16:15,1/5/2023 19:48,0,15,-42,-57,Gilmour,0
1,157,C-23,T-7,D-52,5,1/5/2023 15:30,1/5/2023 20:30,1/5/2023 15:23,1/5/2023 20:07,0,-7,-23,-16,Mason,0
1,158,C-41,T-7,D-52,10,1/5/2023 5:30,1/5/2023 15:30,1/5/2023 5:53,1/5/2023 15:02,0,23,-28,-51,Mason,0
1,159,C-41,T-45,D-71,4.5,1/5/2023 5:00,1/5/2023 9:30,1/5/2023 5:54,1/5/2023 9:37,0,54,7,-47,Barrett,0
1,160,C-23,T-45,D-71,7,1/5/2023 9:30,1/5/2023 16:30,1/5/2023 9:37,1/5/2023 16:39,0,7,9,2,Barrett,0
1,161,C-41,T-45,D-71,3.5,1/5/2023 16:30,1/5/2023 20:00,1/5/2023 16:39,1/5/2023 19:46,0,9,-14,-23,Barrett,0
1,162,C-23,T-13,D-15,4,1/5/2023 18:00,1/5/2023 22:00,1/5/2023 18:32,1/5/2023 22:15,0,32,15,-17,Barrett,0
1,163,C-23,T-13,D-15,7.5,1/5/2023 22:00,1/6/2023 5:30,1/5/2023 22:15,1/6/2023 5:41,0,15,11,-4,Barrett,0
1,164,C-23,T-37,D-16,7,1/5/2023 16:30,1/5/2023 23:30,1/5/2023 16:15,1/5/2023 22:59,0,-15,-31,-16,Barrett,0
1,165,C-23,T-47,D-11,15,1/6/2023 5:30,1/6/2023 20:30,1/6/2023 6:05,1/6/2023 19:54,0,35,-36,-71,Gilmour,0
1,166,C-23,T-33,D-19,4,1/6/2023 17:00,1/6/2023 21:00,1/6/2023 16:45,1/6/2023 20:45,0,-15,-15,0,Barrett,0
1,167,C-41,T-33,D-19,6,1/6/2023 21:00,1/7/2023 3:00,1/6/2023 20:45,1/7/2023 2:32,0,-15,-28,-13,Barrett,0
1,168,C-41,T-14,D-15,14,1/6/2023 18:00,1/7/2023 8:00,1/6/2023 17:43,1/7/2023 8:04,0,-17,4,21,Barrett,0
1,169,C-23,T-25,D-41,8,1/6/2023 1:00,1/6/2023 9:00,1/6/2023 0:48,1/6/2023 8:22,0,-12,-38,-26,Gilmour,0
1,170,C-23,T-25,D-41,14,1/6/2023 18:00,1/7/2023 8:00,1/6/2023 18:32,1/7/2023 7:22,0,32,-38,-70,Gilmour,0
1,171,C-41,T-6,D-47,13.5,1/6/2023 6:00,1/6/2023 19:30,1/6/2023 5:57,1/6/2023 12:35,0,-3,-415,-412,Gilmour,0
1,172,C-41,T-9,D-9,9,1/6/2023 7:00,1/6/2023 16:00,1/6/2023 6:44,1/6/2023 16:03,0,-16,3,19,Barrett,0
1,173,C-41,T-34,D-40,11,1/6/2023 7:00,1/6/2023 18:00,1/6/2023 6:58,1/6/2023 17:36,0,-2,-24,-22,Barrett,0
